,path,emotion
0,data/emodb/wav\03a01Nc.wav,neutral
1,data/emodb/wav\03a01Wa.wav,angry
2,data/emodb/wav\03a02Nc.wav,neutral
3,data/emodb/wav\03a02Ta.wav,sad
4,data/emodb/wav\03a02Wb.wav,angry
5,data/emodb/wav\03a02Wc.wav,angry
6,data/emodb/wav\03a04Nc.wav,neutral
7,data/emodb/wav\03a04Ta.wav,sad
8,data/emodb/wav\03a04Wc.wav,angry
9,data/emodb/wav\03a05Nd.wav,neutral
10,data/emodb/wav\03a05Tc.wav,sad
11,data/emodb/wav\03a05Wa.wav,angry
12,data/emodb/wav\03a05Wb.wav,angry
13,data/emodb/wav\03a07Nc.wav,neutral
14,data/emodb/wav\03a07Wc.wav,angry
15,data/emodb/wav\03b01Nb.wav,neutral
16,data/emodb/wav\03b01Td.wav,sad
17,data/emodb/wav\03b01Wa.wav,angry
18,data/emodb/wav\03b01Wc.wav,angry
19,data/emodb/wav\03b02Na.wav,neutral
20,data/emodb/wav\03b02Tb.wav,sad
21,data/emodb/wav\03b02Wb.wav,angry
22,data/emodb/wav\03b03Nb.wav,neutral
23,data/emodb/wav\03b03Tc.wav,sad
24,data/emodb/wav\03b03Wc.wav,angry
25,data/emodb/wav\03b09Nc.wav,neutral
26,data/emodb/wav\03b09Tc.wav,sad
27,data/emodb/wav\03b09Wa.wav,angry
28,data/emodb/wav\03b10Na.wav,neutral
29,data/emodb/wav\03b10Nc.wav,neutral
30,data/emodb/wav\03b10Wb.wav,angry
31,data/emodb/wav\03b10Wc.wav,angry
32,data/emodb/wav\08a01Na.wav,neutral
33,data/emodb/wav\08a01Wa.wav,angry
34,data/emodb/wav\08a01Wc.wav,angry
35,data/emodb/wav\08a02Na.wav,neutral
36,data/emodb/wav\08a02Tb.wav,sad
37,data/emodb/wav\08a02Wc.wav,angry
38,data/emodb/wav\08a04Nc.wav,neutral
39,data/emodb/wav\08a04Tb.wav,sad
40,data/emodb/wav\08a04Wc.wav,angry
41,data/emodb/wav\08a05Nb.wav,neutral
42,data/emodb/wav\08a05Ta.wav,sad
43,data/emodb/wav\08a05Wa.wav,angry
44,data/emodb/wav\08a07Na.wav,neutral
45,data/emodb/wav\08a07Ta.wav,sad
46,data/emodb/wav\08a07Tb.wav,sad
47,data/emodb/wav\08a07Wc.wav,angry
48,data/emodb/wav\08b01Na.wav,neutral
49,data/emodb/wav\08b01Wa.wav,angry
50,data/emodb/wav\08b02Nb.wav,neutral
51,data/emodb/wav\08b02Tc.wav,sad
52,data/emodb/wav\08b02Wd.wav,angry
53,data/emodb/wav\08b03Nb.wav,neutral
54,data/emodb/wav\08b03Tc.wav,sad
55,data/emodb/wav\08b03Wd.wav,angry
56,data/emodb/wav\08b09Nb.wav,neutral
57,data/emodb/wav\08b09Tb.wav,sad
58,data/emodb/wav\08b09Wa.wav,angry
59,data/emodb/wav\08b09Wc.wav,angry
60,data/emodb/wav\08b10Nc.wav,neutral
61,data/emodb/wav\08b10Tc.wav,sad
62,data/emodb/wav\08b10Wa.wav,angry
63,data/emodb/wav\09a01Nb.wav,neutral
64,data/emodb/wav\09a01Wb.wav,angry
65,data/emodb/wav\09a02Wb.wav,angry
66,data/emodb/wav\09a04Nb.wav,neutral
67,data/emodb/wav\09a04Wa.wav,angry
68,data/emodb/wav\09a05Nb.wav,neutral
69,data/emodb/wav\09a05Tb.wav,sad
70,data/emodb/wav\09a05Wb.wav,angry
71,data/emodb/wav\09a05Wc.wav,angry
72,data/emodb/wav\09a07Na.wav,neutral
73,data/emodb/wav\09a07Ta.wav,sad
74,data/emodb/wav\09a07Wb.wav,angry
75,data/emodb/wav\09a07Wd.wav,angry
76,data/emodb/wav\09b01Na.wav,neutral
77,data/emodb/wav\09b01Wb.wav,angry
78,data/emodb/wav\09b02Na.wav,neutral
79,data/emodb/wav\09b02Tb.wav,sad
80,data/emodb/wav\09b02Wc.wav,angry
81,data/emodb/wav\09b02Wd.wav,angry
82,data/emodb/wav\09b03Nb.wav,neutral
83,data/emodb/wav\09b03Ta.wav,sad
84,data/emodb/wav\09b03Wb.wav,angry
85,data/emodb/wav\09b09Nd.wav,neutral
86,data/emodb/wav\09b09Wa.wav,angry
87,data/emodb/wav\09b10Nd.wav,neutral
88,data/emodb/wav\09b10Wa.wav,angry
89,data/emodb/wav\10a01Nb.wav,neutral
90,data/emodb/wav\10a01Wa.wav,angry
91,data/emodb/wav\10a02Na.wav,neutral
92,data/emodb/wav\10a02Wa.wav,angry
93,data/emodb/wav\10a04Nb.wav,neutral
94,data/emodb/wav\10a04Wa.wav,angry
95,data/emodb/wav\10a04Wb.wav,angry
96,data/emodb/wav\10a05Tb.wav,sad
97,data/emodb/wav\10a05Wb.wav,angry
98,data/emodb/wav\10a07Ta.wav,sad
99,data/emodb/wav\10a07Wb.wav,angry
100,data/emodb/wav\10b02Na.wav,neutral
101,data/emodb/wav\10b02Wb.wav,angry
102,data/emodb/wav\10b03Tb.wav,sad
103,data/emodb/wav\10b03Wb.wav,angry
104,data/emodb/wav\10b09Wb.wav,angry
105,data/emodb/wav\10b10Wa.wav,angry
106,data/emodb/wav\11a01Nd.wav,neutral
107,data/emodb/wav\11a01Wc.wav,angry
108,data/emodb/wav\11a02Nc.wav,neutral
109,data/emodb/wav\11a02Tc.wav,sad
110,data/emodb/wav\11a02Wc.wav,angry
111,data/emodb/wav\11a04Nd.wav,neutral
112,data/emodb/wav\11a04Wc.wav,angry
113,data/emodb/wav\11a05Na.wav,neutral
114,data/emodb/wav\11a05Td.wav,sad
115,data/emodb/wav\11a05Wd.wav,angry
116,data/emodb/wav\11a07Ta.wav,sad
117,data/emodb/wav\11a07Wc.wav,angry
118,data/emodb/wav\11b01Nc.wav,neutral
119,data/emodb/wav\11b01Wd.wav,angry
120,data/emodb/wav\11b02Na.wav,neutral
121,data/emodb/wav\11b02Td.wav,sad
122,data/emodb/wav\11b02Wb.wav,angry
123,data/emodb/wav\11b03Nb.wav,neutral
124,data/emodb/wav\11b03Td.wav,sad
125,data/emodb/wav\11b03Wa.wav,angry
126,data/emodb/wav\11b03Wb.wav,angry
127,data/emodb/wav\11b09Na.wav,neutral
128,data/emodb/wav\11b09Td.wav,sad
129,data/emodb/wav\11b09Wa.wav,angry
130,data/emodb/wav\11b10Nc.wav,neutral
131,data/emodb/wav\11b10Td.wav,sad
132,data/emodb/wav\11b10Wa.wav,angry
133,data/emodb/wav\12a01Nb.wav,neutral
